The Queen,"Drama, History"
Alpha Dog,"Crime, Drama, Thriller"
Larceny,"Action, Thriller"
Berserk: The Golden Age Arc III - The Advent,"Action, Adventure, Drama, Fantasy, Animation"
Side Effects,"Thriller, Crime, Drama"
Crown Vic,"Crime, Drama"
Pom Poko,"Adventure, Animation, Fantasy"
Shelter,"Drama, Romance"
Last Looks,"Action, Crime, Thriller, Mystery"
The Quake,"Action, Thriller"
The Larva Island Movie,"Animation, Family"
Sator,Horror
A Dog's Purpose,"Adventure, Comedy, Fantasy, Family, Drama"
The Exorcism of Anna Ecklund,"Thriller, Horror"
Young Aunt,Romance
That Which Does Not Kill,Documentary
Don't Look Now,"Thriller, Drama, Horror"
Boa vs. Python,"Horror, Science Fiction"
The Autopsy of Jane Doe,"Horror, Mystery"
From Hell,"Horror, Mystery, Thriller"
Blame!,"Action, Drama, Science Fiction, Animation"
Children of the Corn III: Urban Harvest,"Thriller, Horror"
Son of a Gun,"Action, Crime, Drama, Thriller"
Ma mère,Drama
Dragon Ball Z: Broly – Second Coming,"Animation, Action, Science Fiction"
Murder Mystery,Comedy
GoldenEye,"Adventure, Action, Thriller"
The Kingdom,"Thriller, Action, Drama"
Shark Beach With Chris Hemsworth,Documentary
I'm Gonna Git You Sucka,"Comedy, Action, Crime"
Predestination,"Science Fiction, Thriller"
Come Play,Horror
Outlander,"Fantasy, Action, Science Fiction"
Howard the Duck,"Comedy, Fantasy, Science Fiction"
V/H/S: Viral,"Horror, Thriller"
Grease 2,"Comedy, Family, Music, Romance"
Norwegian Wood,"Drama, Romance"
Unlawful Entry,"Crime, Thriller, Mystery"
Five Nights at Freddy's: The Fan Film,"Animation, Horror"
Birth,"Mystery, Drama, Romance"
Star of David: Beauty Hunting,"Horror, Thriller"
Mostly Ghostly 3: One Night in Doom House,"Family, Fantasy, Horror"
HOUBA! On the Trail of the Marsupilami,"Adventure, Comedy, Family"
The Prince of Egypt,"Adventure, Animation, Drama, Family"
Rogue City,"Crime, Thriller, Action, Drama"
Cats & Dogs: The Revenge of Kitty Galore,"Comedy, Family, Action, Fantasy, Adventure, Mystery"
A Question of Faith,Drama
Brahms: The Boy II,"Horror, Mystery, Thriller"
Extraction,"Drama, Action, Thriller"
Mulholland Drive,"Thriller, Drama, Mystery"
A Week Away,"Drama, Family, Music, Romance"
A Dark Truth,"Action, Thriller"
Bridge of Spies,"Thriller, Drama"
Bloody Hell,"Horror, Comedy"
